label,cluster_no
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
maize,0
maize,1
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,1
maize,0
maize,0
maize,5
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,5
maize,0
maize,0
maize,0
maize,0
maize,5
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,7
chickpea,7
chickpea,5
chickpea,7
chickpea,7
chickpea,5
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,5
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,5
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,5
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
